ID;title;year;genre;rating;seasons.episodes
61;Battlestar Galactica;2004-2009; Action. Adventure. Drama;8.7;1-13. 2-20. 3-20. 4-20
62;Lucky Louie;2006-2007; Comedy;8.0;1-13
63;Dekalog;1989-1990; Drama;9.1;1-10
64;It's Garry Shandling's Show;1986-1990; Comedy;7.6;1-16. 2-17. 3-20. 4-19
65;On The Air;1992; Comedy;7.4;1-7
66;All In The Family;1971-1979; Comedy. Drama;7.4;1-13. 2-24. 3-24. 4-24. 5-23. 6-24. 7-25. 8-24. 9-24
67;Entourage;2004-2011; Comedy. Drama;8.5;1-8. 2-14. 3-20. 4-12. 5-12. 6-12. 7-10. 8-8
68;Ally McBeal;1997-2002; Comedy. Drama. Fantasy;6.8;1-23. 2-23. 3-21. 4-23. 5-22
69;The Strain;2014-2017; Drama. Horror. Thriller;7.4;1-13. 2-13. 3-10. 4-10
70;The Man In The High Castle;2015-; Drama. Sci-fi. Thriller;8.1;1-10. 2-10. 3-10
71;Sons Of Anarchy;2008-2014; Crime. Drama. Thriller;8.6;1-13. 2-13. 3-13. 4-14. 5-13. 6-13. 7-13
72;The Punisher;2017; Action. Adventure. Crime;8.6;1-13
73;Boardwalk Empire;2010-2014; Crime. Drama. History;8.6;1-12. 2-12. 3-12. 4-12. 5-8
74;Damages;2007-2012; Crime. Drama. Mystery;8.1;1-13. 2-13. 3-13. 4-10. 5-10
75;Banshee;2013-2016; Action. Crime. Drama;8.4;1-10. 2-10. 3-10. 4-8
76;Planet Earth;2006; Documentary;9.4;1-11
77;Freaks And Geeks;1999-2000; Comedy. Drama;8.8;1-18
78;The Way We Live Now;2001; Drama. Romance;7.7;1-4
79;Justified;2010-2015; Action. Crime. Drama;8.6;1-13. 2-13. 3-13. 4-13. 5-13. 6-13
80;Arrested Development;2003-; Comedy;8.9;1-22. 2-18. 3-13. 4-22. 5-16
81;Stranger Things;2016-; Drama. Fantasy. Horror;8.9;1-8. 2-9
82;Night Court;1984-1992; Comedy;7.7;1-13. 2-22. 3-22. 4-22. 5-22. 6-22. 7-24. 8-24. 9-22
83;Revenge;2011-2015; Drama. Mystery. Thriller;7.9;1-22. 2-22. 3-22. 4-23
84;Da Ali G Show;2003-2004; Comedy. Talk-show;8.0;1-6. 2-6. 3-6
85;Sex & The City;1998-2004; Comedy. Drama. Romance;7.1;1-12. 2-18. 3-18. 4-18. 5-8. 6-20
86;Tyrant;2014-2016; Action. Drama. Thriller;7.8;1-10. 2-12. 3-10
87;Billions;2016-; Drama;8.4;1-12. 2-12. 3-12
88;Shameless;2011-; Comedy. Drama;8.7;1-12. 2-12. 3-12. 4-12. 5-12. 6-12. 7-12. 8-12. 9-7
89;Smallville;2001-2011; Adventure. Drama. Romance;7.5;1-21. 2-23. 3-22. 4-22. 5-22. 6-22. 7-20. 8-22. 9-21. 19-22
90;The Defenders;2017; Action. Adventure. Crime;7.5;1-8
91;House;2004-2012; Drama. Mystery;8.8;1-22. 2-24. 3-24. 4-16. 5-24. 6-21. 7-23. 8-22
92;Fear The Walking Dead;2015-; Drama. Horror. Sci-fi;7.0;1-6. 2-15. 3-16. 4-16
93;True Blood;2008-2014; Drama. Fantasy. Mystery;7.9;1-12. 2-12. 3-12. 4-12. 5-12. 6-10. 7-10
94;GLOW;2017-; Comedy. Drama. Sport;8.2;1-10. 2-10
95;Doctor Thorne;2016; Drama;7.3;1-3
96;The Civil War;1990; Documentary. History. War;9.1;1-9
97;Person Of Interest;2011-2016; Action. Crime. Drama;8.4;1-23. 2-22. 3-23. 4-22. 5-13
98;Californication;2007-2014; Comedy. Drama;8.3;1-12. 2-12. 3-12. 4-12. 5-12. 6-12. 7-12
99;Three's Company;1976-1984; Comedy;7.6;1-6. 2-25. 3-22. 4-25. 5-22. 6-28. 7-22. 8-22
100;Dexter;2006-2013; Crime. Drama. Mystery;8.7;1-12. 2-12. 3-12. 4-12. 5-12. 6-12. 7-12.8-12
